,x,y,weights
182,115175.68510000035,10060807.1455,1
183,115182.05310000014,10060822.9325,1
184,115222.2845,10060751.8514,1
185,115232.94489999954,10060859.7478,1
186,115271.0231999997,10060730.769,1
187,115274.73369999975,10061642.9374,1
188,115286.77379999962,10061390.8072,1
189,115288.47130000032,10061575.0298,1
190,115315.5756,10060801.2747,1
191,115328.51809999999,10061188.6632,1
192,115331.02070000023,10060936.0122,1
193,115336.32189999986,10060939.6936,1
194,115336.75420000032,10060771.2603,1
195,115340.3273,10061448.1484,1
196,115346.76800000016,10061588.1545,1
197,115348.8191999998,10061471.3029,1
198,115386.64589999989,10060911.2414,1
199,115397.6205000002,10061557.5962,1
200,115421.97609999962,10061523.8954,1
201,115447.4927000003,10061662.8374,1
202,115471.2862999998,10061574.3963,1
203,115476.01070000045,10061498.0725,1
204,115504.0526,10061424.8932,1
205,115508.99089999963,10061713.8575,1
206,115569.85639999993,10061589.6028,1
207,115609.13570000045,10061703.5349,1
208,115672.2473,10061795.0829,1
209,115674.70069999993,10061460.3222,1
210,115686.25769999996,10061287.6722,1
211,115689.77699999977,10061868.2354,1
212,115702.96410000045,10061765.5892,1
213,115704.5577999996,10061772.4309,1
214,115762.68030000012,10061488.6937,1
215,115770.23170000035,10061715.5464,1
216,115787.00519999955,10061402.358,1
217,115805.78920000046,10061808.1632,1
218,115815.58150000032,10062239.2382,1
219,115862.8844999997,10061580.2201,1
220,115956.5674,10061393.8375,1
221,112577.9221,10060540.7334,1
222,112587.44159999955,10060508.0931,1
223,112710.3320000004,10060422.224,1
224,112780.82880000025,10060453.7652,1
225,113606.51989999972,10060607.5117,1
226,113651.41339999996,10060350.0947,1
227,114162.28619999997,10060421.9114,1
228,114175.58910000045,10060517.7012,1
229,114187.136,10060325.047,1
230,114213.5728000002,10060223.4444,1
231,114218.86560000014,10060212.3878,1
232,114220.58069999982,10060430.2996,1
233,114223.11120000016,10060223.4389,1
234,114232.12679999974,10060236.0663,1
235,114233.7072,10060219.7483,1
236,114242.95019999985,10060626.6186,1
237,114246.12719999999,10060622.4059,1
238,114262.00339999981,10060586.078,1
239,114268.35890000034,10060580.2843,1
240,114270.37399999984,10060399.2157,1
241,114289.95110000018,10060348.1476,1
242,114294.85020000022,10060573.4264,1
243,114308.1024000002,10060581.3141,1
244,114322.30449999962,10060398.6594,1
245,114366.83810000028,10060436.0052,1
246,114416.61699999962,10060380.1825,1
247,114444.73510000017,10060437.5394,1
248,114461.61930000037,10060311.2037,1
249,114486.10560000036,10060503.3103,1
250,114489.81400000025,10060501.729,1
251,114556.95069999993,10060221.668,1
252,114563.847,10060234.823,1
253,114599.90440000035,10060276.3845,1
254,114603.07660000026,10060263.7501,1
255,114608.43010000046,10060358.4914,1
256,114612.64479999989,10060315.854,1
257,114613.81560000032,10060508.5002,1
258,114664.56460000016,10060296.8753,1
259,114676.8278,10060427.9312,1
260,114701.7357,10060432.1277,1
261,114711.29360000044,10060466.3354,1
262,114727.6107,10060275.2585,1
263,114736.6342000002,10060301.5711,1
264,114753.7752,10060621.0597,1
265,114784.95959999971,10060482.61,1
266,114803.88989999983,10060228.3689,1
267,114839.38860000018,10060219.9268,1
268,114849.69409999996,10060632.0578,1
269,114864.90050000045,10060353.0803,1
270,114868.59310000017,10060324.1286,1
271,114873.86980000045,10060285.1752,1
272,114878.7845999999,10060538.3496,1
273,114880.89969999995,10060530.4531,1
274,114897.74299999978,10060333.0599,1
275,114900.36220000032,10060280.4228,1
276,114901.971,10060313.5823,1
277,114904.73620000016,10060514.6487,1
278,114932.79889999982,10060476.2085,1
279,112782.3585,10060350.0701,1
280,112759.56769999955,10060342.1878,1
281,112751.60709999967,10060321.6641,1
282,112489.32079999987,10060358.6615,1
283,112441.5767,10060269.2065,1
284,112416.6584999999,10060248.1661,1
285,112419.2922,10060220.7934,1
286,113092.30009999964,10060250.408,1
287,113368.50150000025,10060453.9515,1
288,113368.04989999998,10060589.2272,1
289,113356.34520000033,10060508.7004,1
290,113185.7379,10060550.3819,1
291,113163.98929999955,10060511.9699,1
292,113094.03089999966,10060494.6404,1
293,113086.65670000017,10060571.4939,1
294,113043.16729999986,10060508.3553,1
295,113010.8359000003,10060496.794,1
296,112994.95110000018,10060518.3842,1
297,112922.9140999997,10060572.1152,1
298,112855.09229999967,10060584.261,1
299,112861.9857,10060592.1525,1
300,112871.99029999971,10060482.1362,1
301,113394.49660000019,10060504.9937,1
302,113533.31749999989,10060478.0689,1
303,113499.31180000026,10060319.6533,1
